sample	read_id	contig	strain_id
T1	T1|strain2|0004202	demo_contig_1	strain2
T1	T1|strain2|0004560	demo_contig_1	strain2
T1	T1|strain2|0004611	demo_contig_1	strain2
T1	T1|strain2|0004789	demo_contig_1	strain2
T1	T1|strain2|0004792	demo_contig_1	strain2
T1	T1|strain2|0004839	demo_contig_1	strain2
T1	T1|strain2|0005026	demo_contig_1	strain2
T1	T1|strain2|0005151	demo_contig_1	strain2
T1	T1|strain2|0005308	demo_contig_1	strain2
T1	T1|strain2|0005335	demo_contig_1	strain2
T1	T1|strain2|0005467	demo_contig_1	strain2
T1	T1|strain2|0005598	demo_contig_1	strain2
T1	T1|strain2|0005650	demo_contig_1	strain2
T1	T1|strain2|0005657	demo_contig_1	strain2
T1	T1|strain2|0005699	demo_contig_1	strain2
T1	T1|strain2|0005719	demo_contig_1	strain2
T1	T1|strain2|0005736	demo_contig_1	strain2
T1	T1|strain2|0005903	demo_contig_1	strain2
T1	T1|strain2|0005991	demo_contig_1	strain2
T1	T1|strain2|0005997	demo_contig_1	strain2
T1	T1|strain2|0006093	demo_contig_1	strain2
T1	T1|strain2|0006097	demo_contig_1	strain2
T1	T1|strain2|0006308	demo_contig_1	strain2
T1	T1|strain2|0006371	demo_contig_1	strain2
T1	T1|strain2|0006389	demo_contig_1	strain2
T1	T1|strain2|0006414	demo_contig_1	strain2
T1	T1|strain2|0006694	demo_contig_1	strain2
T1	T1|strain2|0006728	demo_contig_1	strain2
T1	T1|strain2|0006741	demo_contig_1	strain2
T1	T1|strain2|0006846	demo_contig_1	strain2
T1	T1|strain2|0006910	demo_contig_1	strain2
T1	T1|strain2|0006993	demo_contig_1	strain2
T1	T1|strain2|0007034	demo_contig_1	strain2
T1	T1|strain2|0007296	demo_contig_1	strain2
T1	T1|strain2|0007434	demo_contig_1	strain2
T1	T1|strain2|0007442	demo_contig_1	strain2
T1	T1|strain2|0007453	demo_contig_1	strain2
T1	T1|strain2|0007481	demo_contig_1	strain2
T1	T1|strain2|0007511	demo_contig_1	strain2
T1	T1|strain2|0007706	demo_contig_1	strain2
T1	T1|strain2|0007716	demo_contig_1	strain2
T1	T1|strain2|0007732	demo_contig_1	strain2
T1	T1|strain2|0007801	demo_contig_1	strain2
T1	T1|strain2|0007826	demo_contig_1	strain2
T1	T1|strain2|0007851	demo_contig_1	strain2
T1	T1|strain2|0007876	demo_contig_1	strain2
T1	T1|strain2|0007898	demo_contig_1	strain2
T1	T1|strain2|0007990	demo_contig_1	strain2
T1	T1|strain2|0008103	demo_contig_1	strain2
T1	T1|strain2|0008107	demo_contig_1	strain2
T1	T1|strain2|0008110	demo_contig_1	strain2
T1	T1|strain2|0008137	demo_contig_1	strain2
T1	T1|strain2|0008245	demo_contig_1	strain2
T1	T1|strain2|0008343	demo_contig_1	strain2
T1	T1|strain2|0008384	demo_contig_1	strain2
T1	T1|strain2|0008411	demo_contig_1	strain2
T1	T1|strain2|0008470	demo_contig_1	strain2
T1	T1|strain2|0008515	demo_contig_1	strain2
T1	T1|strain2|0008552	demo_contig_1	strain2
T1	T1|strain2|0008566	demo_contig_1	strain2
T1	T1|strain2|0008588	demo_contig_1	strain2
T1	T1|strain2|0008726	demo_contig_1	strain2
T1	T1|strain2|0008747	demo_contig_1	strain2
T1	T1|strain2|0008827	demo_contig_1	strain2
T1	T1|strain2|0008912	demo_contig_1	strain2
T1	T1|strain2|0008935	demo_contig_1	strain2
T1	T1|strain2|0009062	demo_contig_1	strain2
T1	T1|strain2|0009111	demo_contig_1	strain2
T1	T1|strain2|0009127	demo_contig_1	strain2
T1	T1|strain2|0009166	demo_contig_1	strain2
T1	T1|strain2|0009232	demo_contig_1	strain2
T1	T1|strain2|0009286	demo_contig_1	strain2
T1	T1|strain2|0009401	demo_contig_1	strain2
T1	T1|strain2|0009412	demo_contig_1	strain2
T1	T1|strain2|0009518	demo_contig_1	strain2
T1	T1|strain2|0009536	demo_contig_1	strain2
T1	T1|strain2|0009577	demo_contig_1	strain2
T1	T1|strain2|0009635	demo_contig_1	strain2
T1	T1|strain2|0009710	demo_contig_1	strain2
T1	T1|strain2|0009762	demo_contig_1	strain2
T1	T1|strain2|0009912	demo_contig_1	strain2
T1	T1|strain2|0010034	demo_contig_1	strain2
T1	T1|strain2|0010078	demo_contig_1	strain2
T1	T1|strain2|0010082	demo_contig_1	strain2
T1	T1|strain2|0010255	demo_contig_1	strain2
T1	T1|strain2|0010260	demo_contig_1	strain2
T1	T1|strain2|0010274	demo_contig_1	strain2
T1	T1|strain2|0010384	demo_contig_1	strain2
T1	T1|strain2|0010475	demo_contig_1	strain2
T1	T1|strain2|0010512	demo_contig_1	strain2
T1	T1|strain2|0010514	demo_contig_1	strain2
T1	T1|strain2|0010595	demo_contig_1	strain2
T1	T1|strain2|0010673	demo_contig_1	strain2
T1	T1|strain2|0010686	demo_contig_1	strain2
T1	T1|strain2|0010775	demo_contig_1	strain2
T1	T1|strain2|0010838	demo_contig_1	strain2
T1	T1|strain2|0010890	demo_contig_1	strain2
T1	T1|strain2|0011027	demo_contig_1	strain2
T1	T1|strain2|0011044	demo_contig_1	strain2
T1	T1|strain2|0011104	demo_contig_1	strain2
T1	T1|strain2|0011124	demo_contig_1	strain2
T1	T1|strain2|0011234	demo_contig_1	strain2
T1	T1|strain2|0011346	demo_contig_1	strain2
T1	T1|strain2|0011364	demo_contig_1	strain2
T1	T1|strain2|0011454	demo_contig_1	strain2
T1	T1|strain2|0011496	demo_contig_1	strain2
T1	T1|strain2|0011630	demo_contig_1	strain2
T1	T1|strain2|0011635	demo_contig_1	strain2
T1	T1|strain2|0011684	demo_contig_1	strain2
T1	T1|strain2|0011734	demo_contig_1	strain2
T1	T1|strain2|0011738	demo_contig_1	strain2
T1	T1|strain2|0011755	demo_contig_1	strain2
T1	T1|strain2|0011899	demo_contig_1	strain2
T1	T1|strain2|0011989	demo_contig_1	strain2
T1	T1|strain2|0012041	demo_contig_1	strain2
T1	T1|strain2|0012080	demo_contig_1	strain2
T1	T1|strain2|0012086	demo_contig_1	strain2
T1	T1|strain2|0012159	demo_contig_1	strain2
T1	T1|strain2|0012184	demo_contig_1	strain2
T1	T1|strain2|0012239	demo_contig_1	strain2
T1	T1|strain2|0012321	demo_contig_1	strain2
T1	T1|strain2|0012364	demo_contig_1	strain2
T1	T1|strain2|0012464	demo_contig_1	strain2
T1	T1|strain2|0012495	demo_contig_1	strain2
T1	T1|strain2|0012510	demo_contig_1	strain2
T1	T1|strain2|0012531	demo_contig_1	strain2
T1	T1|strain2|0012580	demo_contig_1	strain2
T1	T1|strain2|0012743	demo_contig_1	strain2
T1	T1|strain2|0012855	demo_contig_1	strain2
T1	T1|strain2|0012882	demo_contig_1	strain2
T1	T1|strain2|0012918	demo_contig_1	strain2
T1	T1|strain2|0012957	demo_contig_1	strain2
T1	T1|strain2|0012973	demo_contig_1	strain2
T1	T1|strain2|0013006	demo_contig_1	strain2
T1	T1|strain2|0013008	demo_contig_1	strain2
T1	T1|strain2|0013022	demo_contig_1	strain2
T1	T1|strain2|0013081	demo_contig_1	strain2
T1	T1|strain2|0013104	demo_contig_1	strain2
T1	T1|strain2|0013190	demo_contig_1	strain2
T1	T1|strain2|0013207	demo_contig_1	strain2
T1	T1|strain2|0013238	demo_contig_1	strain2
T1	T1|strain2|0013241	demo_contig_1	strain2
T1	T1|strain2|0013246	demo_contig_1	strain2
T1	T1|strain2|0013318	demo_contig_1	strain2
T1	T1|strain2|0013320	demo_contig_1	strain2
T1	T1|strain2|0013327	demo_contig_1	strain2
T1	T1|strain2|0013373	demo_contig_1	strain2
T1	T1|strain2|0013408	demo_contig_1	strain2
T1	T1|strain2|0013514	demo_contig_1	strain2
T1	T1|strain2|0013533	demo_contig_1	strain2
T1	T1|strain2|0013727	demo_contig_1	strain2
T1	T1|strain2|0013732	demo_contig_1	strain2
T1	T1|strain2|0013801	demo_contig_1	strain2
T1	T1|strain2|0013803	demo_contig_1	strain2
T1	T1|strain2|0013854	demo_contig_1	strain2
T1	T1|strain2|0013959	demo_contig_1	strain2
T1	T1|strain2|0014013	demo_contig_1	strain2
T1	T1|strain2|0014036	demo_contig_1	strain2
T1	T1|strain2|0014080	demo_contig_1	strain2
T1	T1|strain2|0014090	demo_contig_1	strain2
T1	T1|strain2|0014099	demo_contig_1	strain2
T1	T1|strain2|0014119	demo_contig_1	strain2
T1	T1|strain2|0014310	demo_contig_1	strain2
T1	T1|strain2|0014347	demo_contig_1	strain2
T1	T1|strain2|0014433	demo_contig_1	strain2
T1	T1|strain2|0014439	demo_contig_1	strain2
T1	T1|strain2|0014623	demo_contig_1	strain2
T1	T1|strain2|0014678	demo_contig_1	strain2
T1	T1|strain2|0014779	demo_contig_1	strain2
T1	T1|strain2|0014869	demo_contig_1	strain2
T1	T1|strain2|0014873	demo_contig_1	strain2
T1	T1|strain2|0015090	demo_contig_1	strain2
T1	T1|strain2|0015113	demo_contig_1	strain2
T1	T1|strain2|0015192	demo_contig_1	strain2
T1	T1|strain2|0015236	demo_contig_1	strain2
T1	T1|strain2|0015340	demo_contig_1	strain2
T1	T1|strain2|0015353	demo_contig_1	strain2
T1	T1|strain2|0015468	demo_contig_1	strain2
T1	T1|strain2|0015487	demo_contig_1	strain2
T1	T1|strain2|0015536	demo_contig_1	strain2
T1	T1|strain2|0015662	demo_contig_1	strain2
T1	T1|strain2|0015673	demo_contig_1	strain2
T1	T1|strain2|0015721	demo_contig_1	strain2
T1	T1|strain2|0015789	demo_contig_1	strain2
T1	T1|strain2|0015818	demo_contig_1	strain2
T1	T1|strain2|0015883	demo_contig_1	strain2
T1	T1|strain2|0015972	demo_contig_1	strain2
T1	T1|strain2|0016013	demo_contig_1	strain2
T1	T1|strain2|0016032	demo_contig_1	strain2
T1	T1|strain2|0016037	demo_contig_1	strain2
T1	T1|strain2|0016095	demo_contig_1	strain2
T1	T1|strain2|0016228	demo_contig_1	strain2
T1	T1|strain2|0016410	demo_contig_1	strain2
T1	T1|strain2|0016458	demo_contig_1	strain2
T1	T1|strain2|0016490	demo_contig_1	strain2
T1	T1|strain2|0016525	demo_contig_1	strain2
T1	T1|strain2|0016550	demo_contig_1	strain2
T1	T1|strain2|0016561	demo_contig_1	strain2
T1	T1|strain2|0016599	demo_contig_1	strain2
T1	T1|strain2|0016629	demo_contig_1	strain2
T1	T1|strain2|0016632	demo_contig_1	strain2
T1	T1|strain2|0016758	demo_contig_1	strain2
T1	T1|strain2|0016815	demo_contig_1	strain2
T1	T1|strain2|0016873	demo_contig_1	strain2
T1	T1|strain2|0016893	demo_contig_1	strain2
T1	T1|strain2|0017037	demo_contig_1	strain2
T1	T1|strain2|0017091	demo_contig_1	strain2
T1	T1|strain2|0017096	demo_contig_1	strain2
T1	T1|strain2|0017104	demo_contig_1	strain2
T1	T1|strain2|0017233	demo_contig_1	strain2
T1	T1|strain2|0017261	demo_contig_1	strain2
T1	T1|strain2|0017263	demo_contig_1	strain2
T1	T1|strain2|0017275	demo_contig_1	strain2
T1	T1|strain2|0017276	demo_contig_1	strain2
T1	T1|strain2|0017349	demo_contig_1	strain2
T1	T1|strain2|0017468	demo_contig_1	strain2
T1	T1|strain2|0017472	demo_contig_1	strain2
T1	T1|strain2|0017517	demo_contig_1	strain2
T1	T1|strain2|0017552	demo_contig_1	strain2
T1	T1|strain2|0017563	demo_contig_1	strain2
T1	T1|strain2|0017665	demo_contig_1	strain2
T1	T1|strain2|0017670	demo_contig_1	strain2
T1	T1|strain2|0017731	demo_contig_1	strain2
T1	T1|strain2|0017736	demo_contig_1	strain2
T1	T1|strain2|0017777	demo_contig_1	strain2
T1	T1|strain2|0017781	demo_contig_1	strain2
T1	T1|strain2|0017799	demo_contig_1	strain2
T1	T1|strain2|0017800	demo_contig_1	strain2
T1	T1|strain2|0017806	demo_contig_1	strain2
T1	T1|strain2|0017909	demo_contig_1	strain2
T1	T1|strain2|0017920	demo_contig_1	strain2
T1	T1|strain2|0017966	demo_contig_1	strain2
T1	T1|strain2|0017993	demo_contig_1	strain2
T1	T1|strain2|0018200	demo_contig_1	strain2
T1	T1|strain2|0018327	demo_contig_1	strain2
T1	T1|strain2|0018329	demo_contig_1	strain2
T1	T1|strain2|0018348	demo_contig_1	strain2
T1	T1|strain2|0018394	demo_contig_1	strain2
T1	T1|strain2|0018430	demo_contig_1	strain2
T1	T1|strain2|0018508	demo_contig_1	strain2
T1	T1|strain2|0018544	demo_contig_1	strain2
T1	T1|strain2|0018548	demo_contig_1	strain2
T1	T1|strain2|0018657	demo_contig_1	strain2
T1	T1|strain2|0018706	demo_contig_1	strain2
T1	T1|strain2|0018726	demo_contig_1	strain2
T1	T1|strain2|0018734	demo_contig_1	strain2
T1	T1|strain2|0018770	demo_contig_1	strain2
T1	T1|strain2|0018846	demo_contig_1	strain2
T1	T1|strain2|0018878	demo_contig_1	strain2
T1	T1|strain2|0018961	demo_contig_1	strain2
T1	T1|strain2|0019050	demo_contig_1	strain2
T1	T1|strain2|0019065	demo_contig_1	strain2
T1	T1|strain2|0019147	demo_contig_1	strain2
T1	T1|strain2|0019159	demo_contig_1	strain2
T2	T2|strain1|0000071	demo_contig_1	strain1
T2	T2|strain1|0000075	demo_contig_1	strain1
T2	T2|strain1|0000088	demo_contig_1	strain1
T2	T2|strain1|0000109	demo_contig_1	strain1
T2	T2|strain1|0000251	demo_contig_1	strain1
T2	T2|strain1|0000351	demo_contig_1	strain1
T2	T2|strain1|0000596	demo_contig_1	strain1
T2	T2|strain1|0000638	demo_contig_1	strain1
T2	T2|strain1|0000692	demo_contig_1	strain1
T2	T2|strain1|0000759	demo_contig_1	strain1
T2	T2|strain2|0000154	demo_contig_1	strain2
T2	T2|strain2|0000226	demo_contig_1	strain2
T2	T2|strain2|0000240	demo_contig_1	strain2
T2	T2|strain2|0000288	demo_contig_1	strain2
T2	T2|strain2|0000289	demo_contig_1	strain2
T2	T2|strain2|0000427	demo_contig_1	strain2
T2	T2|strain2|0000463	demo_contig_1	strain2
T2	T2|strain2|0000483	demo_contig_1	strain2
T2	T2|strain2|0000556	demo_contig_1	strain2
T2	T2|strain2|0000578	demo_contig_1	strain2
T2	T2|strain2|0000681	demo_contig_1	strain2
T2	T2|strain2|0000695	demo_contig_1	strain2
T2	T2|strain2|0000904	demo_contig_1	strain2
T2	T2|strain2|0000930	demo_contig_1	strain2
T2	T2|strain2|0000970	demo_contig_1	strain2
T2	T2|strain2|0000993	demo_contig_1	strain2
T2	T2|strain2|0000995	demo_contig_1	strain2
T2	T2|strain2|0001016	demo_contig_1	strain2
T2	T2|strain2|0001084	demo_contig_1	strain2
T2	T2|strain2|0001118	demo_contig_1	strain2
T2	T2|strain2|0001242	demo_contig_1	strain2
T2	T2|strain2|0001250	demo_contig_1	strain2
T2	T2|strain2|0001251	demo_contig_1	strain2
T2	T2|strain2|0001261	demo_contig_1	strain2
T2	T2|strain2|0001308	demo_contig_1	strain2
T2	T2|strain2|0001474	demo_contig_1	strain2
T2	T2|strain2|0001597	demo_contig_1	strain2
T2	T2|strain2|0001608	demo_contig_1	strain2
T2	T2|strain2|0001612	demo_contig_1	strain2
T2	T2|strain2|0001675	demo_contig_1	strain2
T2	T2|strain2|0001685	demo_contig_1	strain2
T2	T2|strain2|0001719	demo_contig_1	strain2
T2	T2|strain2|0001807	demo_contig_1	strain2
T2	T2|strain2|0001818	demo_contig_1	strain2
T2	T2|strain2|0001847	demo_contig_1	strain2
T2	T2|strain2|0001879	demo_contig_1	strain2
T2	T2|strain2|0001906	demo_contig_1	strain2
T2	T2|strain2|0001912	demo_contig_1	strain2
T2	T2|strain2|0001916	demo_contig_1	strain2
T2	T2|strain2|0001983	demo_contig_1	strain2
T2	T2|strain2|0002187	demo_contig_1	strain2
T2	T2|strain2|0002257	demo_contig_1	strain2
T2	T2|strain2|0002396	demo_contig_1	strain2
T2	T2|strain2|0002441	demo_contig_1	strain2
T2	T2|strain2|0002459	demo_contig_1	strain2
T2	T2|strain2|0002468	demo_contig_1	strain2
T2	T2|strain2|0002510	demo_contig_1	strain2
T2	T2|strain2|0002551	demo_contig_1	strain2
T2	T2|strain2|0002557	demo_contig_1	strain2
T2	T2|strain2|0002662	demo_contig_1	strain2
T2	T2|strain2|0002804	demo_contig_1	strain2
T2	T2|strain2|0002810	demo_contig_1	strain2
T2	T2|strain2|0002865	demo_contig_1	strain2
T2	T2|strain2|0002907	demo_contig_1	strain2
T2	T2|strain2|0003010	demo_contig_1	strain2
T2	T2|strain2|0003016	demo_contig_1	strain2
T2	T2|strain2|0003023	demo_contig_1	strain2
T2	T2|strain2|0003211	demo_contig_1	strain2
T2	T2|strain2|0003257	demo_contig_1	strain2
T2	T2|strain2|0003272	demo_contig_1	strain2
T2	T2|strain2|0003327	demo_contig_1	strain2
T2	T2|strain2|0003333	demo_contig_1	strain2
T2	T2|strain2|0003342	demo_contig_1	strain2
T2	T2|strain2|0003401	demo_contig_1	strain2
T2	T2|strain2|0003419	demo_contig_1	strain2
T2	T2|strain2|0003456	demo_contig_1	strain2
T2	T2|strain2|0003532	demo_contig_1	strain2
T2	T2|strain2|0003555	demo_contig_1	strain2
T2	T2|strain2|0003668	demo_contig_1	strain2
T2	T2|strain2|0003702	demo_contig_1	strain2
T2	T2|strain2|0003835	demo_contig_1	strain2
T2	T2|strain2|0003863	demo_contig_1	strain2
T2	T2|strain2|0003866	demo_contig_1	strain2
T2	T2|strain2|0003963	demo_contig_1	strain2
T2	T2|strain2|0004036	demo_contig_1	strain2
T2	T2|strain2|0004152	demo_contig_1	strain2
T2	T2|strain2|0004399	demo_contig_1	strain2
T2	T2|strain2|0004426	demo_contig_1	strain2
T2	T2|strain2|0004437	demo_contig_1	strain2
T2	T2|strain2|0004463	demo_contig_1	strain2
T2	T2|strain2|0004465	demo_contig_1	strain2
T2	T2|strain2|0004650	demo_contig_1	strain2
T2	T2|strain2|0004690	demo_contig_1	strain2
T2	T2|strain2|0004776	demo_contig_1	strain2
T2	T2|strain2|0004856	demo_contig_1	strain2
T2	T2|strain2|0004931	demo_contig_1	strain2
T2	T2|strain2|0005007	demo_contig_1	strain2
T2	T2|strain2|0005187	demo_contig_1	strain2
T2	T2|strain2|0005337	demo_contig_1	strain2
T2	T2|strain2|0005479	demo_contig_1	strain2
T2	T2|strain2|0005544	demo_contig_1	strain2
T2	T2|strain2|0005559	demo_contig_1	strain2
T2	T2|strain2|0005657	demo_contig_1	strain2
T2	T2|strain2|0005659	demo_contig_1	strain2
T2	T2|strain2|0005679	demo_contig_1	strain2
T2	T2|strain2|0005795	demo_contig_1	strain2
T2	T2|strain2|0005824	demo_contig_1	strain2
T2	T2|strain2|0005890	demo_contig_1	strain2
T2	T2|strain2|0005898	demo_contig_1	strain2
T2	T2|strain2|0005911	demo_contig_1	strain2
T2	T2|strain2|0005920	demo_contig_1	strain2
T2	T2|strain2|0005979	demo_contig_1	strain2
T2	T2|strain2|0006005	demo_contig_1	strain2
T2	T2|strain2|0006019	demo_contig_1	strain2
T2	T2|strain2|0006155	demo_contig_1	strain2
T2	T2|strain2|0006164	demo_contig_1	strain2
T2	T2|strain2|0006200	demo_contig_1	strain2
T2	T2|strain2|0006258	demo_contig_1	strain2
T2	T2|strain2|0006306	demo_contig_1	strain2
T2	T2|strain2|0006342	demo_contig_1	strain2
T2	T2|strain2|0006355	demo_contig_1	strain2
T2	T2|strain2|0006404	demo_contig_1	strain2
T2	T2|strain2|0006489	demo_contig_1	strain2
T2	T2|strain2|0006849	demo_contig_1	strain2
T2	T2|strain2|0006962	demo_contig_1	strain2
T2	T2|strain2|0006970	demo_contig_1	strain2
T2	T2|strain2|0007088	demo_contig_1	strain2
T2	T2|strain2|0007102	demo_contig_1	strain2
T2	T2|strain2|0007175	demo_contig_1	strain2
T2	T2|strain2|0007182	demo_contig_1	strain2
T2	T2|strain2|0007207	demo_contig_1	strain2
T2	T2|strain2|0007294	demo_contig_1	strain2
T2	T2|strain2|0007300	demo_contig_1	strain2
T2	T2|strain2|0007325	demo_contig_1	strain2
T2	T2|strain2|0007441	demo_contig_1	strain2
T2	T2|strain2|0007631	demo_contig_1	strain2
T2	T2|strain2|0007656	demo_contig_1	strain2
T2	T2|strain2|0007665	demo_contig_1	strain2
T2	T2|strain2|0007753	demo_contig_1	strain2
T2	T2|strain2|0007762	demo_contig_1	strain2
T2	T2|strain2|0007775	demo_contig_1	strain2
T2	T2|strain2|0007931	demo_contig_1	strain2
T2	T2|strain2|0007942	demo_contig_1	strain2
T2	T2|strain2|0008004	demo_contig_1	strain2
T2	T2|strain2|0008030	demo_contig_1	strain2
T2	T2|strain2|0008176	demo_contig_1	strain2
T2	T2|strain2|0008190	demo_contig_1	strain2
T2	T2|strain2|0008240	demo_contig_1	strain2
T2	T2|strain2|0008257	demo_contig_1	strain2
T2	T2|strain2|0008309	demo_contig_1	strain2
T2	T2|strain2|0008338	demo_contig_1	strain2
T2	T2|strain2|0008345	demo_contig_1	strain2
T2	T2|strain2|0008445	demo_contig_1	strain2
T2	T2|strain2|0008475	demo_contig_1	strain2
T2	T2|strain2|0008645	demo_contig_1	strain2
T2	T2|strain2|0008734	demo_contig_1	strain2
T2	T2|strain2|0008755	demo_contig_1	strain2
T2	T2|strain2|0008781	demo_contig_1	strain2
T2	T2|strain2|0008785	demo_contig_1	strain2
T2	T2|strain2|0008810	demo_contig_1	strain2
T2	T2|strain2|0008989	demo_contig_1	strain2
T2	T2|strain2|0009005	demo_contig_1	strain2
T2	T2|strain2|0009020	demo_contig_1	strain2
T2	T2|strain2|0009082	demo_contig_1	strain2
T2	T2|strain2|0009085	demo_contig_1	strain2
T2	T2|strain2|0009147	demo_contig_1	strain2
T2	T2|strain2|0009214	demo_contig_1	strain2
T2	T2|strain2|0009244	demo_contig_1	strain2
T2	T2|strain2|0009301	demo_contig_1	strain2
T2	T2|strain2|0009344	demo_contig_1	strain2
T2	T2|strain2|0009368	demo_contig_1	strain2
T2	T2|strain2|0009390	demo_contig_1	strain2
T2	T2|strain2|0009467	demo_contig_1	strain2
T2	T2|strain2|0009468	demo_contig_1	strain2
T2	T2|strain2|0009495	demo_contig_1	strain2
T2	T2|strain2|0009502	demo_contig_1	strain2
T2	T2|strain2|0009510	demo_contig_1	strain2
T2	T2|strain2|0009513	demo_contig_1	strain2
T2	T2|strain2|0009557	demo_contig_1	strain2
T2	T2|strain2|0009679	demo_contig_1	strain2
T2	T2|strain2|0009708	demo_contig_1	strain2
T2	T2|strain2|0009781	demo_contig_1	strain2
T2	T2|strain2|0009854	demo_contig_1	strain2
T2	T2|strain2|0009951	demo_contig_1	strain2
T2	T2|strain2|0009963	demo_contig_1	strain2
T2	T2|strain2|0010063	demo_contig_1	strain2
T2	T2|strain2|0010109	demo_contig_1	strain2
T2	T2|strain2|0010112	demo_contig_1	strain2
T2	T2|strain2|0010213	demo_contig_1	strain2
T2	T2|strain2|0010251	demo_contig_1	strain2
T2	T2|strain2|0010290	demo_contig_1	strain2
T2	T2|strain2|0010460	demo_contig_1	strain2
T2	T2|strain2|0010475	demo_contig_1	strain2
T2	T2|strain2|0010485	demo_contig_1	strain2
T2	T2|strain2|0010590	demo_contig_1	strain2
T2	T2|strain2|0010660	demo_contig_1	strain2
T2	T2|strain2|0010665	demo_contig_1	strain2
T2	T2|strain2|0010832	demo_contig_1	strain2
T2	T2|strain2|0010862	demo_contig_1	strain2
T2	T2|strain2|0010872	demo_contig_1	strain2
T2	T2|strain2|0010874	demo_contig_1	strain2
T2	T2|strain2|0010906	demo_contig_1	strain2
T2	T2|strain2|0011043	demo_contig_1	strain2
T2	T2|strain2|0011126	demo_contig_1	strain2
T2	T2|strain2|0011167	demo_contig_1	strain2
T2	T2|strain2|0011259	demo_contig_1	strain2
T2	T2|strain2|0011270	demo_contig_1	strain2
